ESPN TEAM,Player,Total Points,Injured,Type,Player ID,MLB Team,TrendPoints,TrendAB,TrendAVG,TrendHits,TrendDoubles,TrendTriples,TrendHR,TrendBB,TrendRuns,TrendRBI,TrendSB,TrendHBP,TrendIP,TrendER,TrendERA,TrendWins,TrendSaves,TrendK,TrendHolds,Hits,Doubles,Triples,HR,BB,Runs,RBI,SB,HBP,IP,ER,Wins,Saves,K,QS,Holds
Team 1,K Teel,222,N,hitter,691019.0,CWS,81.0,31.0,0.194,6.0,1.0,0.0,1.0,10.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,4.0,16.0,16.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,P Alonso,1511,N,hitter,624413.0,BAL,148.0,47.0,0.255,12.0,0.0,0.0,7.0,6.0,8.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,24.0,0.0,40.0,78.0,94.0,108.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,V Guerrero Jr,1017,N,hitter,665489.0,TOR,82.0,39.0,0.308,12.0,2.0,0.0,1.0,6.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,24.0,0.0,9.0,56.0,71.0,56.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,J Holliday,590,Y,hitter,702616.0,,30.0,26.0,0.192,5.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,12.0,1.0,7.0,34.0,45.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,J Caminero,1500,N,hitter,691406.0,TB,112.0,45.0,0.244,11.0,3.0,0.0,3.0,6.0,9.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,24.0,1.0,41.0,78.0,96.0,97.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,M Murakami,1115,N,hitter,808959.0,CWS,91.0,41.0,0.122,5.0,0.0,1.0,2.0,8.0,4.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,14.0,1.0,32.0,90.0,77.0,70.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,G Henderson,1255,N,hitter,683002.0,BAL,96.0,41.0,0.317,13.0,2.0,1.0,2.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,27.0,6.0,24.0,65.0,88.0,59.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,C Montgomery,1149,N,hitter,695657.0,CWS,63.0,36.0,0.111,4.0,2.0,0.0,0.0,6.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,24.0,0.0,31.0,54.0,71.0,87.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,R Anthony,377,N,hitter,701350.0,BOS,81.0,47.0,0.234,11.0,2.0,0.0,2.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,9.0,2.0,5.0,27.0,21.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,J Duran,1016,N,hitter,680776.0,BOS,37.0,23.0,0.217,5.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,15.0,5.0,20.0,38.0,65.0,69.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
