Team,Position,Player,Full Name,Total Score,Injured,Type,Player ID,MLB Team,Hits,Doubles,Triples,HR,BB,Runs,RBI,SB,HBP,IP,ER,Wins,Saves,K,QS,Holds,TrendPoints,TrendAB,TrendAVG,TrendHits,TrendDoubles,TrendTriples,TrendHR,TrendBB,TrendRuns,TrendRBI,TrendSB,TrendHBP,TrendIP,TrendER,TrendERA,TrendWins,TrendSaves,TrendK,TrendHolds
Jack Power,C,H Goodman,Hunter Goodman,1179.0,N,hitter,696100.0,COL,119.0,19.0,2.0,38.0,44.0,80.0,81.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,35.0,0.171,6.0,1.0,1.0,2.0,2.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Power,C,P Bailey,Patrick Bailey,488.0,N,hitter,672275.0,CLE,61.0,8.0,1.0,8.0,27.0,28.0,34.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,28.0,0.25,7.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Power,1B,V Guerrero Jr,Vladimir Guerrero Jr.,1008.0,N,hitter,665489.0,TOR,137.0,24.0,0.0,9.0,55.0,71.0,56.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,47.0,0.255,12.0,2.0,0.0,1.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Power,1B,N Kurtz,Nick Kurtz,1003.0,Y,hitter,701762.0,,90.0,15.0,1.0,21.0,79.0,62.0,69.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Power,2B,B Turang,Brice Turang,1417.0,N,hitter,668930.0,MIL,147.0,34.0,3.0,19.0,89.0,97.0,93.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,38.0,0.421,16.0,4.0,0.0,2.0,15.0,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Power,2B,J Wetherholt,JJ Wetherholt,1095.0,N,hitter,802139.0,STL,123.0,14.0,0.0,17.0,63.0,88.0,48.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Power,3B,J Caminero,Junior Caminero,1490.0,N,hitter,691406.0,TB,162.0,24.0,1.0,41.0,78.0,94.0,97.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,44.0,0.25,11.0,3.0,0.0,4.0,8.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Power,3B,J Ramirez,José Ramírez,1019.0,N,hitter,608070.0,CLE,103.0,26.0,0.0,12.0,57.0,65.0,51.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,43.0,0.163,7.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Power,SS,G Henderson,Gunnar Henderson,1221.0,N,hitter,683002.0,BAL,135.0,26.0,5.0,23.0,65.0,87.0,58.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,40.0,0.275,11.0,2.0,0.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Power,SS,B Witt Jr,Bobby Witt Jr.,1309.0,N,hitter,677951.0,KC,145.0,30.0,1.0,18.0,66.0,85.0,54.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,45.0,0.2,9.0,2.0,0.0,1.0,8.0,6.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
